epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.7,1.77758,1.58344,1.30795,0.82236,0.85308,0.90749,0.53975,1.54544,1.29072,1.183,0.0005001,0.0005001,0.0005001
2,507.615,1.65575,0.84185,1.2227,0.79605,0.87223,0.87617,0.48297,1.6451,1.02025,1.26801,0.000983313,0.000983313,0.000983313
3,543.412,1.63319,0.79695,1.21779,0.81254,0.79372,0.86703,0.49504,1.68139,1.04058,1.24986,0.00143242,0.00143242,0.00143242
4,576.921,1.61772,0.81172,1.22022,0.8226,0.83964,0.88639,0.51401,1.60742,1.01377,1.25027,0.00150197,0.00150197,0.00150197
5,611.96,1.59826,0.78431,1.20405,0.85108,0.86806,0.89909,0.51308,1.62386,0.93582,1.23831,0.00144696,0.00144696,0.00144696
6,646.433,1.59449,0.75146,1.20746,0.75102,0.83847,0.84808,0.4588,1.73281,0.93791,1.30454,0.00139195,0.00139195,0.00139195
7,681.656,1.57674,0.73702,1.19861,0.81575,0.86853,0.9095,0.5103,1.61878,0.84914,1.24468,0.00133693,0.00133693,0.00133693
8,715.512,1.56464,0.72482,1.19391,0.85576,0.87016,0.89508,0.52146,1.61973,0.85046,1.24626,0.00128192,0.00128192,0.00128192
9,750.746,1.55467,0.71645,1.1941,0.85199,0.90472,0.90668,0.52983,1.56558,0.82457,1.23758,0.00122691,0.00122691,0.00122691
10,785.512,1.54628,0.7078,1.18492,0.85505,0.90183,0.906,0.52891,1.57312,0.78245,1.23002,0.0011719,0.0011719,0.0011719
11,819.082,1.54002,0.69655,1.18754,0.84184,0.894,0.91619,0.55252,1.57635,0.75169,1.23043,0.00111689,0.00111689,0.00111689
12,857.021,1.52549,0.69042,1.17666,0.85146,0.91509,0.90094,0.5274,1.57658,0.76797,1.21553,0.00106188,0.00106188,0.00106188
13,892.641,1.5057,0.67043,1.16596,0.84972,0.91732,0.92726,0.53905,1.58504,0.77397,1.23539,0.00100687,0.00100687,0.00100687
14,928.18,1.51415,0.67424,1.17424,0.86033,0.9072,0.91901,0.55632,1.52725,0.73531,1.20079,0.000951857,0.000951857,0.000951857
15,966.015,1.49885,0.66338,1.16444,0.86073,0.91692,0.92311,0.53839,1.57725,0.74894,1.22165,0.000896846,0.000896846,0.000896846
16,1002.09,1.50851,0.66736,1.17324,0.86121,0.90241,0.89721,0.49983,1.6177,0.77135,1.26086,0.000841835,0.000841835,0.000841835
17,1037.56,1.47386,0.6508,1.1536,0.86253,0.89144,0.89766,0.51028,1.62126,0.77443,1.24235,0.000786824,0.000786824,0.000786824
18,1072.46,1.46854,0.64229,1.15127,0.83468,0.93512,0.89537,0.51917,1.56865,0.73431,1.22735,0.000731813,0.000731813,0.000731813
19,1108.25,1.46238,0.64125,1.13736,0.85056,0.90638,0.89479,0.54267,1.54828,0.7452,1.20538,0.000676802,0.000676802,0.000676802
20,1143.68,1.47028,0.63382,1.14375,0.85614,0.91823,0.91391,0.54055,1.5749,0.73535,1.22219,0.000621791,0.000621791,0.000621791
21,1184.72,1.49178,0.63476,1.18602,0.84744,0.93614,0.94146,0.56898,1.53961,0.72233,1.20253,0.00056678,0.00056678,0.00056678
22,1219.29,1.47923,0.61994,1.17779,0.84399,0.92193,0.93227,0.5525,1.58101,0.70946,1.22116,0.000511769,0.000511769,0.000511769
23,1253.54,1.47716,0.6152,1.18713,0.84716,0.92392,0.91676,0.53646,1.59038,0.72433,1.23781,0.000456758,0.000456758,0.000456758
24,1287.33,1.4615,0.60908,1.18157,0.84492,0.92895,0.92248,0.52577,1.63891,0.72845,1.26017,0.000401747,0.000401747,0.000401747
25,1321.44,1.44923,0.60499,1.16867,0.8537,0.91557,0.90123,0.51478,1.64403,0.73923,1.26309,0.000346736,0.000346736,0.000346736
26,1355.37,1.43943,0.59232,1.16102,0.85506,0.91797,0.92042,0.53966,1.5928,0.70923,1.23382,0.000291725,0.000291725,0.000291725
27,1388.71,1.42961,0.58563,1.16103,0.84907,0.92337,0.90294,0.53121,1.59038,0.72853,1.23597,0.000236714,0.000236714,0.000236714
28,1421.17,1.42371,0.57925,1.16508,0.85845,0.91828,0.9104,0.52434,1.63039,0.74262,1.24726,0.000181703,0.000181703,0.000181703
29,1454.77,1.41264,0.57514,1.16005,0.85729,0.92485,0.91495,0.53229,1.62852,0.72759,1.24848,0.000126692,0.000126692,0.000126692
30,1487.58,1.39951,0.56475,1.15201,0.85792,0.92418,0.90872,0.52636,1.6262,0.72314,1.24619,7.1681e-05,7.1681e-05,7.1681e-05
