epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6864,1.77988,2.02234,1.25566,0.93011,0.34443,0.53025,0.31253,1.66254,2.83563,1.18495,0.0005001,0.0005001,0.0005001
2,105.343,1.66455,1.01714,1.18705,0.78925,0.40416,0.76617,0.4037,1.6748,2.24612,1.17794,0.000983313,0.000983313,0.000983313
3,137.813,1.63376,0.95133,1.17599,0.8612,0.62654,0.76443,0.40838,1.73905,1.85892,1.19202,0.00143242,0.00143242,0.00143242
4,169.637,1.61686,0.91531,1.18474,0.82868,0.5861,0.71837,0.38906,1.70984,1.96624,1.27078,0.00150197,0.00150197,0.00150197
5,202.559,1.63249,0.90281,1.18268,0.83781,0.85092,0.85014,0.46424,1.70851,1.11887,1.2521,0.00144696,0.00144696,0.00144696
6,234.8,1.60286,0.84773,1.17865,0.80697,0.87715,0.87911,0.48999,1.61276,0.97051,1.19238,0.00139195,0.00139195,0.00139195
7,267.169,1.57869,0.82123,1.16684,0.87176,0.85911,0.91488,0.51842,1.55013,0.82202,1.18337,0.00133693,0.00133693,0.00133693
8,298.019,1.56668,0.80862,1.16578,0.86689,0.86539,0.90161,0.52243,1.62127,0.84325,1.19578,0.00128192,0.00128192,0.00128192
9,329.448,1.55951,0.78828,1.16394,0.848,0.8777,0.9011,0.54195,1.54735,0.82864,1.19533,0.00122691,0.00122691,0.00122691
10,361.03,1.5548,0.7693,1.1609,0.83287,0.90579,0.91778,0.5219,1.62339,0.84446,1.21433,0.0011719,0.0011719,0.0011719
11,393.172,1.5443,0.76332,1.1586,0.8431,0.86247,0.9119,0.5291,1.62875,0.82032,1.2133,0.00111689,0.00111689,0.00111689
12,425.452,1.53534,0.74507,1.15315,0.85893,0.88004,0.93243,0.55416,1.55682,0.80325,1.17891,0.00106188,0.00106188,0.00106188
13,457.751,1.51749,0.72715,1.14659,0.84845,0.89035,0.90302,0.51964,1.59809,0.83492,1.20938,0.00100687,0.00100687,0.00100687
14,488.875,1.52279,0.72965,1.15606,0.84923,0.90491,0.9072,0.54775,1.5272,0.77187,1.17605,0.000951857,0.000951857,0.000951857
15,521.065,1.50498,0.71712,1.14594,0.86818,0.89774,0.93937,0.58556,1.48313,0.74184,1.14882,0.000896846,0.000896846,0.000896846
16,551.588,1.52291,0.71949,1.15838,0.8447,0.89524,0.92587,0.54605,1.54752,0.77313,1.18601,0.000841835,0.000841835,0.000841835
17,583.35,1.49008,0.6994,1.13855,0.84409,0.89772,0.92237,0.53156,1.61182,0.79489,1.21931,0.000786824,0.000786824,0.000786824
18,613.699,1.4752,0.68589,1.13096,0.82937,0.92053,0.90849,0.54973,1.52983,0.764,1.1833,0.000731813,0.000731813,0.000731813
19,644.655,1.48198,0.6847,1.13011,0.84634,0.90119,0.92084,0.56799,1.51424,0.76785,1.17576,0.000676802,0.000676802,0.000676802
20,675.532,1.48858,0.67903,1.13419,0.86524,0.90299,0.91953,0.55884,1.52255,0.75486,1.17717,0.000621791,0.000621791,0.000621791
21,713.14,1.50478,0.68159,1.16723,0.84994,0.91687,0.92289,0.55637,1.54487,0.75438,1.17998,0.00056678,0.00056678,0.00056678
22,742.094,1.48789,0.663,1.15935,0.84124,0.92416,0.89212,0.53297,1.5217,0.75238,1.17308,0.000511769,0.000511769,0.000511769
23,771.678,1.4882,0.65541,1.16804,0.84765,0.91058,0.89387,0.53038,1.55211,0.76057,1.20161,0.000456758,0.000456758,0.000456758
24,800.74,1.47495,0.64897,1.1643,0.85329,0.91034,0.90632,0.53611,1.59447,0.76533,1.22357,0.000401747,0.000401747,0.000401747
25,830.625,1.46021,0.63786,1.14854,0.85546,0.90155,0.90055,0.52828,1.59206,0.77615,1.21767,0.000346736,0.000346736,0.000346736
26,860.427,1.45259,0.63154,1.14242,0.85333,0.90481,0.90571,0.53654,1.57893,0.74898,1.21145,0.000291725,0.000291725,0.000291725
27,890.258,1.44833,0.62554,1.14316,0.85221,0.90798,0.89717,0.53601,1.55645,0.75324,1.20668,0.000236714,0.000236714,0.000236714
28,920.011,1.44431,0.61786,1.1484,0.86318,0.8878,0.89205,0.533,1.58562,0.78475,1.21439,0.000181703,0.000181703,0.000181703
29,949.774,1.43047,0.61611,1.14411,0.85605,0.90996,0.89767,0.53552,1.57557,0.75186,1.21038,0.000126692,0.000126692,0.000126692
30,979.92,1.42396,0.60678,1.13843,0.85519,0.90588,0.89614,0.52246,1.59831,0.76016,1.21428,7.1681e-05,7.1681e-05,7.1681e-05
