epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0884,1.73604,3.34507,1.26828,0.04577,0.23827,0.17842,0.11786,1.75309,3.37916,1.22614,0.0001875,0.0001875,0.0001875
2,32.2102,1.64066,1.37985,1.17123,0.99324,0.14044,0.37375,0.20196,1.75637,2.66614,1.2214,0.000368319,0.000368319,0.000368319
3,49.3948,1.5522,1.09171,1.1407,0.98843,0.1848,0.37165,0.20229,1.86595,2.64352,1.3124,0.000529338,0.000529338,0.000529338
4,66.5731,1.54382,0.96133,1.12806,0.98076,0.25996,0.42577,0.23685,1.75956,2.221,1.2318,0.000670556,0.000670556,0.000670556
5,81.9849,1.49027,0.90359,1.12187,0.97511,0.28102,0.71853,0.37847,1.82478,2.03461,1.26798,0.000791975,0.000791975,0.000791975
6,98.6287,1.51071,0.88528,1.11594,0.96937,0.33304,0.89675,0.46412,1.79954,1.84141,1.2511,0.000893594,0.000893594,0.000893594
7,115.028,1.49901,0.88305,1.11811,0.93841,0.87522,0.93076,0.4788,1.8011,1.41741,1.25302,0.00087875,0.00087875,0.00087875
8,131.834,1.47301,0.85585,1.11662,0.93521,0.89554,0.93391,0.49056,1.79541,1.21849,1.28769,0.000816875,0.000816875,0.000816875
9,148.407,1.44741,0.81462,1.10071,0.89849,0.90653,0.94086,0.48422,1.78577,0.99954,1.28968,0.000755,0.000755,0.000755
10,163.955,1.45375,0.79887,1.10339,0.93214,0.90744,0.9387,0.47814,1.78855,1.00628,1.27471,0.000693125,0.000693125,0.000693125
11,185.399,1.45695,0.85334,1.11668,0.90444,0.87646,0.92244,0.49018,1.82799,0.96674,1.31621,0.00063125,0.00063125,0.00063125
12,200.99,1.45969,0.81553,1.12852,0.85583,0.8913,0.93825,0.49929,1.79589,0.83109,1.2885,0.000569375,0.000569375,0.000569375
13,217.986,1.44342,0.78813,1.12147,0.893,0.89241,0.93995,0.48572,1.84456,0.83989,1.33932,0.0005075,0.0005075,0.0005075
14,232.181,1.43899,0.76477,1.10906,0.90666,0.91106,0.94111,0.47792,1.82635,0.83969,1.31348,0.000445625,0.000445625,0.000445625
15,248.139,1.41642,0.75585,1.10514,0.7709,0.88583,0.87508,0.44623,1.83751,0.79702,1.3448,0.00038375,0.00038375,0.00038375
16,263.585,1.40073,0.73678,1.10236,0.90991,0.88483,0.94292,0.48946,1.81069,0.7871,1.33829,0.000321875,0.000321875,0.000321875
17,278.84,1.38913,0.72679,1.10294,0.92724,0.93718,0.9518,0.49904,1.75942,0.7607,1.27548,0.00026,0.00026,0.00026
18,293.421,1.38787,0.71419,1.09283,0.92655,0.91248,0.94708,0.49335,1.78351,0.78352,1.30079,0.000198125,0.000198125,0.000198125
19,309.104,1.36502,0.70201,1.09142,0.93182,0.93506,0.95215,0.49393,1.76972,0.76764,1.29129,0.00013625,0.00013625,0.00013625
20,323.842,1.36464,0.6919,1.08959,0.92611,0.92746,0.95246,0.49667,1.76304,0.75856,1.28139,7.4375e-05,7.4375e-05,7.4375e-05
