epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3528,2.42415,6.42269,1.50595,8e-05,0.02143,5e-05,1e-05,1.54028,4.19168,1.05165,0.0001375,0.0001375,0.0001375
2,19.4813,1.69327,4.28179,1.05315,0.0014,0.12571,0.07876,0.02097,1.48416,4.34758,1.17229,0.000278012,0.000278012,0.000278012
3,29.4275,1.51402,3.07683,1.02213,0,0,0,0,1.52863,4.39752,1.1433,0.000408625,0.000408625,0.000408625
4,38.9012,1.3905,2.36251,0.99166,0.00044,0.05632,0.00031,0.00022,1.43526,4.18889,1.09684,0.000529338,0.000529338,0.000529338
5,49.7256,1.42165,2.15574,0.99379,0.00534,0.84122,0.76651,0.45333,1.53109,3.48365,1.0227,0.00064015,0.00064015,0.00064015
6,60.9827,1.36989,1.90838,0.97954,0.00536,0.88592,0.66009,0.34336,1.47251,3.49787,1.09906,0.000741063,0.000741063,0.000741063
7,71.6554,1.38618,1.81374,0.97801,0.99186,0.125,0.82942,0.45389,1.47641,3.11982,1.10678,0.000832075,0.000832075,0.000832075
8,81.6685,1.33447,1.64618,0.9724,0.87185,0.51337,0.88849,0.52169,1.37567,2.23517,1.11631,0.000913187,0.000913187,0.000913187
9,92.5173,1.30434,1.53749,0.97432,0.90076,0.98152,0.96733,0.58283,1.39966,1.56553,1.11528,0.00092,0.00092,0.00092
10,103.921,1.25999,1.44293,0.96506,0.89538,0.98438,0.97159,0.59242,1.41166,1.32646,1.12232,0.00087875,0.00087875,0.00087875
11,116.5,1.2825,1.36877,0.96355,0.96422,0.97578,0.98342,0.61823,1.34704,0.92354,1.17719,0.0008375,0.0008375,0.0008375
12,126.527,1.2995,1.3714,0.96838,0.9507,0.89887,0.96587,0.59101,1.35848,0.93093,1.18409,0.00079625,0.00079625,0.00079625
13,136.457,1.31098,1.23309,0.98841,0.95625,0.98236,0.98234,0.59986,1.38827,0.76471,1.15832,0.000755,0.000755,0.000755
14,147.521,1.28561,1.19833,0.97443,0.96928,0.98438,0.98226,0.61939,1.34924,0.77846,1.11366,0.00071375,0.00071375,0.00071375
15,158.405,1.26091,1.1127,0.97133,0.94288,0.98438,0.97836,0.60543,1.41954,0.73878,1.14163,0.0006725,0.0006725,0.0006725
16,169.396,1.27778,1.13975,0.96995,0.97726,0.99684,0.98765,0.62744,1.32285,0.71914,1.10248,0.00063125,0.00063125,0.00063125
17,179.083,1.23981,1.07455,0.96007,0.96776,0.98438,0.98552,0.60276,1.39938,0.6934,1.11876,0.00059,0.00059,0.00059
18,189.97,1.20222,1.00559,0.95209,0.9551,0.98438,0.98552,0.62426,1.37744,0.66445,1.1238,0.00054875,0.00054875,0.00054875
19,200.187,1.21613,0.99813,0.95399,0.95922,0.98438,0.98422,0.62835,1.3259,0.69238,1.10336,0.0005075,0.0005075,0.0005075
20,211.083,1.21882,0.96536,0.95962,0.96942,0.98344,0.98482,0.62307,1.37786,0.67182,1.10828,0.00046625,0.00046625,0.00046625
21,225.476,1.19435,1.17111,0.95649,0.9764,0.9765,0.98513,0.63932,1.35528,0.66989,1.11546,0.000425,0.000425,0.000425
22,236.097,1.18609,1.12299,0.96639,0.93897,0.99326,0.98376,0.62698,1.35682,0.71288,1.13842,0.00038375,0.00038375,0.00038375
23,246.003,1.19712,1.10934,0.96294,0.93885,0.98438,0.97869,0.61582,1.35318,0.66705,1.12755,0.0003425,0.0003425,0.0003425
24,256.283,1.19859,1.05026,0.97689,0.96186,0.98438,0.98455,0.63071,1.38943,0.65635,1.13775,0.00030125,0.00030125,0.00030125
25,266.237,1.18411,0.99698,0.98256,0.97632,0.98115,0.98403,0.62765,1.38282,0.64138,1.13471,0.00026,0.00026,0.00026
26,275.663,1.16812,1.01776,0.94675,0.95792,0.98438,0.98181,0.62714,1.39431,0.64373,1.1368,0.00021875,0.00021875,0.00021875
27,285.848,1.17372,0.94775,0.97412,0.97134,0.98438,0.98403,0.63942,1.35407,0.62245,1.13281,0.0001775,0.0001775,0.0001775
28,296.917,1.13889,0.93287,0.94621,0.97383,0.98438,0.98403,0.63837,1.32226,0.60341,1.11124,0.00013625,0.00013625,0.00013625
29,304.959,1.13749,0.9191,0.93803,0.97067,0.98438,0.98403,0.63907,1.32936,0.59909,1.11364,9.5e-05,9.5e-05,9.5e-05
30,315.424,1.11291,0.91883,0.93287,0.96588,0.98438,0.98403,0.63809,1.32002,0.60102,1.10911,5.375e-05,5.375e-05,5.375e-05
